stato,age,height,weight,gp,min,usg_pct,pace,poss,fga_pg,drives,dist_miles,avg_speed,pull_up_fga,avg_sec_per_touch,avg_drib_per_touch,post_touches,paint_touches
infortunato,35.0,84,270,37,8.0,0.219,102.93,634,2.9,0.6,0.58,4.1,0.1,1.5,0.47,0.4,3.1
infortunato,27.0,85,245,64,26.8,0.182,100.82,3596,8.7,1.6,2.08,4.36,0.5,1.65,0.51,1.9,8.4
infortunato,21.0,84,240,37,18.4,0.209,101.96,1443,7.2,0.5,1.39,4.26,0.5,1.45,0.35,1.6,5.6
infortunato,29.0,77,205,30,15.5,0.129,102.38,986,3.5,1.0,1.21,4.35,0.2,1.24,0.44,0.0,1.7
infortunato,29.0,77,205,30,15.5,0.129,102.38,986,3.5,1.0,1.21,4.35,0.2,1.24,0.44,0.0,1.7
infortunato,23.0,76,201,64,19.3,0.237,105.09,2702,9.6,5.6,1.5,4.32,3.0,3.27,2.94,0.0,0.7
infortunato,29.0,80,210,63,35.6,0.227,99.08,4643,14.5,6.5,2.57,4.03,2.8,2.51,1.44,2.7,1.9
infortunato,22.0,80,240,38,19.2,0.144,103.77,1577,5.8,0.9,1.54,4.53,0.1,1.18,0.4,0.0,3.1
infortunato,19.0,80,230,56,26.0,0.195,102.37,3101,9.9,6.6,2.06,4.45,1.4,2.92,2.24,1.1,3.4
infortunato,33.0,79,230,59,33.4,0.25,97.33,3989,14.0,13.9,2.38,4.0,3.5,4.37,3.21,2.7,5.9
infortunato,31.0,78,220,66,21.5,0.139,100.38,2970,6.1,2.2,1.63,4.28,0.8,1.45,0.76,0.0,0.5
infortunato,35.0,81,220,39,23.0,0.124,104.36,1961,5.6,2.9,1.68,4.07,1.6,2.99,1.77,0.0,0.2
infortunato,32.0,75,210,34,22.2,0.259,102.65,1614,10.0,8.6,1.48,3.7,3.1,5.58,4.98,0.4,0.2
infortunato,32.0,75,210,34,22.2,0.259,102.65,1614,10.0,8.6,1.48,3.7,3.1,5.58,4.98,0.4,0.2
infortunato,25.0,82,230,11,11.3,0.198,99.46,255,4.8,0.5,0.89,4.42,0.5,1.69,0.7,0.7,2.4
infortunato,20.0,79,225,60,20.6,0.198,103.28,2654,7.5,3.6,1.62,4.39,0.9,2.42,1.48,1.3,2.2
infortunato,28.0,76,215,69,32.6,0.124,98.99,4644,6.9,4.0,2.4,4.11,0.9,2.71,2.1,0.0,1.8
infortunato,29.0,78,200,56,24.0,0.188,103.14,2885,9.1,5.2,1.87,4.33,3.2,3.37,2.64,0.0,0.8
infortunato,29.0,78,209,43,12.0,0.102,102.83,1107,2.2,1.1,0.96,4.45,0.2,1.99,1.22,0.0,1.5
infortunato,22.0,83,221,39,10.3,0.116,102.48,863,2.3,0.7,0.79,4.25,0.3,1.77,0.74,0.1,1.6
infortunato,31.0,83,240,61,28.2,0.173,100.95,3616,8.0,4.4,2.06,4.07,1.0,2.05,0.82,0.7,2.7
infortunato,32.0,72,184,9,16.0,0.215,97.4,294,6.3,5.3,1.14,4.01,3.4,5.47,5.37,0.0,0.0
infortunato,22.0,76,203,52,34.0,0.241,99.85,3679,14.8,14.6,2.5,4.12,7.1,5.19,4.77,0.1,1.7
infortunato,31.0,79,222,28,24.2,0.255,106.0,1508,12.1,6.5,1.76,4.08,5.4,3.88,3.1,1.7,1.3
infortunato,27.0,87,240,63,32.6,0.273,99.15,4244,15.6,3.3,2.25,3.89,3.6,1.81,0.68,4.0,4.7
infortunato,27.0,81,221,64,35.0,0.273,100.4,4681,17.8,9.4,2.56,4.09,4.5,3.35,2.42,0.7,1.8
infortunato,27.0,81,221,64,35.0,0.273,100.4,4681,17.8,9.4,2.56,4.09,4.5,3.35,2.42,0.7,1.8
infortunato,37.0,72,196,49,32.4,0.164,97.35,3228,9.3,6.9,2.14,3.7,3.2,3.53,2.59,0.1,0.9
infortunato,30.0,80,245,56,21.4,0.121,101.01,2515,4.9,0.3,1.55,4.02,0.2,1.8,0.73,0.5,4.5
infortunato,30.0,80,245,56,21.4,0.121,101.01,2515,4.9,0.3,1.55,4.02,0.2,1.8,0.73,0.5,4.5
infortunato,25.0,84,240,64,34.4,0.257,101.06,4628,17.2,5.6,2.52,4.08,2.2,2.17,1.08,1.4,4.4
infortunato,38.0,81,250,47,36.1,0.323,102.94,3642,22.6,9.9,2.38,3.72,6.4,4.36,3.27,3.9,3.8
infortunato,24.0,79,230,59,36.4,0.372,97.57,4371,22.2,20.3,2.38,3.66,11.8,6.21,5.39,4.7,1.1
infortunato,24.0,79,230,59,36.4,0.372,97.57,4371,22.2,20.3,2.38,3.66,11.8,6.21,5.39,4.7,1.1
infortunato,19.0,76,180,58,23.1,0.18,103.93,2900,8.6,4.5,1.82,4.42,2.8,3.66,3.25,0.0,0.4
infortunato,29.0,76,220,56,32.4,0.173,100.53,3789,9.7,7.4,2.16,3.75,1.7,4.08,3.36,1.1,1.2
infortunato,27.0,74,183,60,27.6,0.154,99.53,3431,8.3,5.4,2.02,4.12,3.5,5.0,4.59,0.0,0.3
infortunato,34.0,80,230,70,21.7,0.112,101.25,3199,4.9,0.2,1.63,4.17,0.2,1.28,0.41,0.0,0.9
infortunato,34.0,74,180,59,27.3,0.108,100.42,3354,5.4,4.7,2.01,4.19,0.8,3.58,2.86,0.0,0.9
infortunato,32.0,80,220,56,34.6,0.294,98.46,3976,17.9,10.8,2.45,3.97,8.1,4.22,3.49,1.2,1.4
infortunato,29.0,78,226,69,32.0,0.136,98.79,4532,7.8,3.9,2.34,4.12,1.0,2.27,1.49,0.0,0.8
infortunato,30.0,85,258,62,30.7,0.163,100.53,3975,8.0,0.8,2.27,4.16,0.1,1.47,0.43,1.4,11.1
infortunato,28.0,75,195,18,7.2,0.102,105.39,287,1.5,1.2,0.57,4.42,0.4,4.66,4.35,0.0,0.1
infortunato,21.0,80,225,69,34.9,0.201,98.89,4962,13.3,6.6,2.66,4.25,2.9,3.22,2.57,2.1,4.8
infortunato,35.0,74,185,49,34.8,0.296,104.93,3740,20.0,9.0,2.63,4.21,8.8,4.42,4.2,0.0,1.5
infortunato,31.0,77,205,65,30.2,0.201,97.34,3978,11.9,2.9,2.11,3.93,3.5,2.3,1.52,0.0,0.5
infortunato,30.0,79,226,68,33.2,0.181,96.93,4564,11.6,6.1,2.35,3.99,2.0,2.66,1.73,2.3,2.0
infortunato,23.0,77,195,60,35.3,0.25,97.58,4317,16.7,11.0,2.68,4.28,8.1,3.97,3.26,0.0,0.7
infortunato,25.0,83,250,59,22.5,0.205,103.74,2863,8.3,1.0,1.64,4.05,0.3,1.81,0.63,2.9,5.1
infortunato,22.0,77,215,52,11.0,0.164,100.58,1196,3.5,1.3,0.84,4.34,0.6,1.88,0.99,0.0,0.3
infortunato,22.0,77,215,52,11.0,0.164,100.58,1196,3.5,1.3,0.84,4.34,0.6,1.88,0.99,0.0,0.3
infortunato,23.0,76,190,50,24.2,0.149,101.6,2546,6.7,4.1,1.93,4.59,0.4,2.12,1.47,0.0,1.6
infortunato,36.0,81,240,69,29.1,0.147,98.03,4096,8.2,1.2,2.01,3.95,0.3,1.73,0.64,1.9,3.9
infortunato,36.0,81,240,69,29.1,0.147,98.03,4096,8.2,1.2,2.01,3.95,0.3,1.73,0.64,1.9,3.9
infortunato,19.0,82,243,72,20.7,0.214,101.69,3161,7.3,3.4,1.44,3.9,0.5,2.36,1.03,2.9,4.1
infortunato,28.0,82,279,73,19.7,0.181,99.27,2957,5.9,1.0,1.35,3.91,0.1,1.75,0.67,1.1,6.6
infortunato,28.0,82,279,73,19.7,0.181,99.27,2957,5.9,1.0,1.35,3.91,0.1,1.75,0.67,1.1,6.6
infortunato,38.0,78,215,31,19.4,0.113,99.57,1253,3.9,0.8,1.38,3.99,0.5,2.89,1.74,0.4,2.1
infortunato,38.0,78,215,31,19.4,0.113,99.57,1253,3.9,0.8,1.38,3.99,0.5,2.89,1.74,0.4,2.1
infortunato,38.0,78,215,31,19.4,0.113,99.57,1253,3.9,0.8,1.38,3.99,0.5,2.89,1.74,0.4,2.1
infortunato,27.0,79,197,73,31.9,0.224,99.79,4836,14.0,6.9,2.3,4.06,3.9,2.96,2.15,1.7,2.7
infortunato,23.0,75,181,57,29.5,0.244,98.43,3447,14.0,7.6,2.22,4.21,7.0,5.2,4.62,0.0,0.4
infortunato,29.0,82,253,40,35.1,0.263,101.79,2977,17.4,2.7,2.32,3.73,3.9,2.3,0.99,6.3,10.0
infortunato,29.0,78,225,63,29.3,0.212,98.89,3818,12.6,6.5,2.16,4.2,4.7,2.85,1.99,0.2,0.5
infortunato,29.0,78,225,63,29.3,0.212,98.89,3818,12.6,6.5,2.16,4.2,4.7,2.85,1.99,0.2,0.5
infortunato,29.0,78,225,63,29.3,0.212,98.89,3818,12.6,6.5,2.16,4.2,4.7,2.85,1.99,0.2,0.5
infortunato,21.0,74,169,69,19.0,0.231,99.84,2722,8.3,4.0,1.42,4.24,3.1,3.81,3.15,0.0,0.4
infortunato,25.0,80,215,64,19.5,0.171,104.61,2703,7.0,1.7,1.52,4.41,0.4,1.5,0.68,0.2,5.4
infortunato,24.0,80,190,55,34.0,0.291,98.07,3817,17.9,11.9,2.38,3.94,8.1,3.95,2.87,1.4,1.2
infortunato,25.0,77,185,12,5.0,0.172,107.86,134,1.5,0.8,0.36,4.33,0.3,4.04,3.74,0.0,0.3
infortunato,22.0,78,200,58,20.2,0.143,100.44,2459,5.3,2.9,1.57,4.33,0.6,2.35,1.53,0.0,1.7
infortunato,22.0,80,217,49,20.7,0.213,100.62,2118,8.3,4.5,1.58,4.27,2.8,2.52,1.62,0.0,0.7
infortunato,22.0,80,217,49,20.7,0.213,100.62,2118,8.3,4.5,1.58,4.27,2.8,2.52,1.62,0.0,0.7
infortunato,26.0,80,210,66,26.2,0.167,102.22,3680,9.2,3.0,1.95,4.25,1.1,1.71,1.01,0.0,0.9
infortunato,27.0,73,183,58,22.0,0.235,102.83,2725,10.1,9.7,1.66,4.2,3.4,5.28,4.47,0.0,0.4
infortunato,27.0,78,205,58,30.7,0.252,97.93,3634,14.7,14.9,2.26,4.13,6.6,4.07,3.63,0.2,1.3
infortunato,27.0,78,205,58,30.7,0.252,97.93,3634,14.7,14.9,2.26,4.13,6.6,4.07,3.63,0.2,1.3
infortunato,27.0,79,230,66,22.1,0.206,99.48,3028,8.7,3.5,1.64,4.14,1.6,2.55,1.65,0.0,0.9
infortunato,25.0,81,225,60,21.3,0.184,101.5,2704,7.5,3.1,1.59,4.14,1.1,1.78,0.74,0.6,2.1
infortunato,29.0,81,200,80,21.1,0.172,97.6,3440,7.2,0.6,1.59,4.2,0.5,1.58,0.48,0.1,4.7
infortunato,28.0,82,256,74,27.6,0.149,100.22,4257,8.2,0.2,1.93,4.0,0.0,1.35,0.26,0.4,9.9
infortunato,26.0,78,205,71,26.3,0.12,100.54,3895,6.0,3.5,2.11,4.48,0.8,2.43,1.59,0.1,1.7
infortunato,22.0,75,185,65,31.7,0.245,99.82,4283,14.0,11.3,2.43,4.32,5.5,4.99,4.41,0.0,0.6
infortunato,22.0,75,185,65,31.7,0.245,99.82,4283,14.0,11.3,2.43,4.32,5.5,4.99,4.41,0.0,0.6
infortunato,26.0,76,193,65,31.9,0.246,102.39,4431,15.0,6.1,2.23,3.99,6.9,4.28,3.47,0.2,0.6
infortunato,26.0,82,231,4,13.5,0.159,109.18,125,3.8,1.0,1.04,4.44,1.5,1.82,0.73,0.3,1.8
infortunato,29.0,78,220,42,17.3,0.146,101.25,1535,4.7,2.2,1.34,4.29,0.8,2.09,1.12,0.0,0.6
infortunato,22.0,73,192,68,35.7,0.272,97.42,4954,17.3,17.5,2.66,4.19,7.8,5.39,4.96,0.0,0.9
infortunato,22.0,73,192,68,35.7,0.272,97.42,4954,17.3,17.5,2.66,4.19,7.8,5.39,4.96,0.0,0.9
infortunato,22.0,73,192,68,35.7,0.272,97.42,4954,17.3,17.5,2.66,4.19,7.8,5.39,4.96,0.0,0.9
infortunato,22.0,73,192,68,35.7,0.272,97.42,4954,17.3,17.5,2.66,4.19,7.8,5.39,4.96,0.0,0.9
infortunato,21.0,76,203,2,1.0,0.143,120.91,6,0.5,0.0,0.09,5.18,0.0,4.48,3.0,0.0,0.0
infortunato,21.0,76,203,2,1.0,0.143,120.91,6,0.5,0.0,0.09,5.18,0.0,4.48,3.0,0.0,0.0
infortunato,29.0,82,225,56,14.4,0.165,99.72,1681,4.9,0.9,1.12,4.35,0.5,1.29,0.52,0.0,0.6
infortunato,29.0,82,225,56,14.4,0.165,99.72,1681,4.9,0.9,1.12,4.35,0.5,1.29,0.52,0.0,0.6
infortunato,24.0,80,221,53,29.8,0.194,100.17,3294,10.8,5.6,2.15,4.08,2.8,2.21,1.31,0.5,1.2
infortunato,25.0,81,228,51,19.2,0.107,97.79,1996,4.3,1.2,1.46,4.28,0.4,1.68,0.46,0.0,1.1
infortunato,25.0,81,228,51,19.2,0.107,97.79,1996,4.3,1.2,1.46,4.28,0.4,1.68,0.46,0.0,1.1
infortunato,23.0,83,250,58,29.5,0.217,100.62,3590,12.0,0.5,2.02,3.94,0.5,1.54,0.41,2.8,10.9
infortunato,24.0,74,205,37,17.3,0.173,101.67,1350,5.1,7.6,1.29,4.15,1.2,4.87,4.41,0.0,0.6
infortunato,30.0,81,265,39,16.7,0.131,99.83,1360,4.7,0.0,1.17,4.07,0.1,1.13,0.16,0.2,4.2
infortunato,30.0,81,265,39,16.7,0.131,99.83,1360,4.7,0.0,1.17,4.07,0.1,1.13,0.16,0.2,4.2
infortunato,30.0,81,265,39,16.7,0.131,99.83,1360,4.7,0.0,1.17,4.07,0.1,1.13,0.16,0.2,4.2
infortunato,24.0,77,215,76,29.8,0.226,100.73,4770,14.5,5.3,2.24,4.25,6.0,2.74,1.75,0.0,0.9
infortunato,25.0,77,206,68,34.5,0.313,101.21,4943,20.9,9.7,2.47,4.09,11.8,4.48,3.65,0.7,1.6
infortunato,27.0,73,195,76,28.4,0.191,98.66,4455,10.7,5.1,2.08,4.11,4.6,4.17,3.47,0.0,0.3
infortunato,27.0,73,195,76,28.4,0.191,98.66,4455,10.7,5.1,2.08,4.11,4.6,4.17,3.47,0.0,0.3
infortunato,32.0,84,245,67,15.9,0.164,98.33,2169,4.3,0.2,1.16,4.08,0.1,1.67,0.41,0.4,4.1
infortunato,32.0,84,245,67,15.9,0.164,98.33,2169,4.3,0.2,1.16,4.08,0.1,1.67,0.41,0.4,4.1
infortunato,26.0,79,225,32,27.7,0.283,101.53,1872,16.4,8.8,2.04,4.12,7.2,3.1,2.15,0.6,1.1
infortunato,26.0,83,240,62,34.4,0.221,99.2,4420,12.5,3.5,2.52,4.19,0.5,2.22,1.25,4.8,10.5
infortunato,25.0,73,215,67,33.8,0.322,98.77,4662,20.5,15.2,2.26,3.75,9.5,5.31,4.76,0.0,0.9
infortunato,25.0,76,203,42,23.9,0.187,102.79,2155,8.0,4.6,1.79,4.26,1.9,3.04,2.32,0.0,1.6
infortunato,30.0,79,225,51,24.0,0.178,102.53,2617,9.1,3.4,1.98,4.65,1.5,1.67,0.78,0.0,0.8
infortunato,25.0,78,196,50,9.2,0.115,97.47,928,2.0,0.9,0.72,4.39,0.1,1.64,0.55,0.0,0.6
infortunato,21.0,83,215,69,33.8,0.201,97.5,4741,12.0,3.5,2.48,4.12,2.1,2.04,0.79,3.1,7.7
infortunato,23.0,76,200,58,11.8,0.165,99.2,1416,3.8,2.1,0.87,4.12,1.1,3.15,2.38,0.0,0.2
infortunato,23.0,76,200,58,11.8,0.165,99.2,1416,3.8,2.1,0.87,4.12,1.1,3.15,2.38,0.0,0.2
infortunato,23.0,76,200,58,11.8,0.165,99.2,1416,3.8,2.1,0.87,4.12,1.1,3.15,2.38,0.0,0.2
infortunato,28.0,73,197,65,37.9,0.233,96.97,4986,16.9,13.0,2.82,4.18,8.8,4.52,4.0,0.0,0.5
infortunato,28.0,73,197,65,37.9,0.233,96.97,4986,16.9,13.0,2.82,4.18,8.8,4.52,4.0,0.0,0.5
infortunato,28.0,73,197,65,37.9,0.233,96.97,4986,16.9,13.0,2.82,4.18,8.8,4.52,4.0,0.0,0.5
infortunato,28.0,73,197,65,37.9,0.233,96.97,4986,16.9,13.0,2.82,4.18,8.8,4.52,4.0,0.0,0.5
infortunato,24.0,79,202,67,21.1,0.17,99.33,2929,7.0,3.7,1.61,4.3,2.1,3.01,2.54,0.0,0.5
infortunato,36.0,77,195,59,18.6,0.136,99.35,2267,5.0,1.8,1.4,4.19,1.0,2.03,1.32,0.0,0.8
infortunato,27.0,76,210,61,28.4,0.16,100.66,3631,9.1,3.7,2.15,4.26,2.2,2.55,1.78,0.0,0.8
infortunato,29.0,75,195,71,17.6,0.14,100.35,2591,4.8,0.4,1.42,4.5,0.1,1.65,0.78,0.3,3.0
infortunato,27.0,83,242,67,32.9,0.34,103.12,4743,18.6,11.7,2.33,3.97,6.6,3.68,2.55,4.6,6.7
infortunato,27.0,83,242,67,32.9,0.34,103.12,4743,18.6,11.7,2.33,3.97,6.6,3.68,2.55,4.6,6.7
infortunato,27.0,83,242,67,32.9,0.34,103.12,4743,18.6,11.7,2.33,3.97,6.6,3.68,2.55,4.6,6.7
infortunato,27.0,83,242,67,32.9,0.34,103.12,4743,18.6,11.7,2.33,3.97,6.6,3.68,2.55,4.6,6.7
infortunato,27.0,83,242,67,32.9,0.34,103.12,4743,18.6,11.7,2.33,3.97,6.6,3.68,2.55,4.6,6.7
infortunato,27.0,83,242,67,32.9,0.34,103.12,4743,18.6,11.7,2.33,3.97,6.6,3.68,2.55,4.6,6.7
infortunato,27.0,83,242,67,32.9,0.34,103.12,4743,18.6,11.7,2.33,3.97,6.6,3.68,2.55,4.6,6.7
infortunato,36.0,75,190,21,23.7,0.166,102.37,1062,7.2,6.6,1.82,4.27,2.3,4.3,3.65,0.1,0.6
infortunato,32.0,79,225,49,31.9,0.202,102.99,3352,12.6,8.3,2.43,4.28,3.8,2.77,1.83,1.0,2.6
infortunato,23.0,79,206,78,29.9,0.136,98.84,4796,7.4,3.8,2.24,4.22,0.3,2.3,1.26,0.1,1.9
infortunato,24.0,84,250,68,17.9,0.177,100.73,2547,5.4,1.1,1.4,4.37,0.3,2.06,0.69,0.4,5.8
infortunato,20.0,82,205,36,15.0,0.214,103.0,1158,5.7,0.4,1.17,4.38,0.3,1.23,0.34,0.6,5.5
infortunato,20.0,82,205,36,15.0,0.214,103.0,1158,5.7,0.4,1.17,4.38,0.3,1.23,0.34,0.6,5.5
infortunato,24.0,80,230,45,21.1,0.185,102.08,2014,7.2,2.4,1.53,4.23,0.5,1.64,0.68,0.3,4.2
infortunato,24.0,80,230,45,21.1,0.185,102.08,2014,7.2,2.4,1.53,4.23,0.5,1.64,0.68,0.3,4.2
infortunato,22.0,75,174,57,33.1,0.33,101.46,4003,20.6,20.9,2.41,4.13,6.3,5.82,4.9,0.1,1.9
infortunato,22.0,75,174,57,33.1,0.33,101.46,4003,20.6,20.9,2.41,4.13,6.3,5.82,4.9,0.1,1.9
infortunato,22.0,75,174,57,33.1,0.33,101.46,4003,20.6,20.9,2.41,4.13,6.3,5.82,4.9,0.1,1.9
infortunato,32.0,80,227,67,16.2,0.168,99.32,2241,4.9,0.3,1.19,4.15,0.1,1.33,0.37,0.5,3.3
infortunato,34.0,84,270,74,15.8,0.214,102.0,2479,6.2,0.7,1.11,4.01,0.4,1.46,0.48,0.9,6.2
infortunato,21.0,81,185,70,25.8,0.149,102.49,3840,7.9,2.9,2.06,4.51,0.9,1.55,0.75,0.1,2.1
infortunato,26.0,76,230,78,26.4,0.194,101.95,4361,9.3,5.2,1.95,4.16,0.3,2.62,1.63,1.0,3.8
infortunato,26.0,85,245,68,29.0,0.182,100.62,4119,9.8,1.0,2.25,4.37,0.4,1.55,0.41,2.2,9.8
infortunato,26.0,85,245,68,29.0,0.182,100.62,4119,9.8,1.0,2.25,4.37,0.4,1.55,0.41,2.2,9.8
infortunato,26.0,85,245,68,29.0,0.182,100.62,4119,9.8,1.0,2.25,4.37,0.4,1.55,0.41,2.2,9.8
infortunato,20.0,80,219,22,5.5,0.183,104.26,265,1.9,0.9,0.42,4.27,0.3,2.08,1.0,0.0,0.5
infortunato,24.0,81,205,55,16.3,0.152,100.96,1882,4.6,3.1,1.29,4.44,0.3,1.94,1.13,0.0,1.2
infortunato,24.0,81,205,55,16.3,0.152,100.96,1882,4.6,3.1,1.29,4.44,0.3,1.94,1.13,0.0,1.2
infortunato,21.0,77,205,48,27.2,0.244,102.44,2785,11.4,9.0,2.08,4.32,3.5,4.09,3.49,0.2,1.0
infortunato,35.0,79,240,62,19.2,0.136,98.66,2440,5.0,2.9,1.36,4.05,0.6,2.73,2.07,0.1,1.6
infortunato,21.0,75,193,42,8.6,0.221,101.73,758,3.6,2.6,0.62,4.03,1.7,5.58,5.28,0.0,0.1
infortunato,22.0,83,242,78,27.3,0.248,101.97,4518,13.3,5.6,2.0,4.16,0.7,1.97,1.04,1.8,3.3
infortunato,23.0,78,195,37,9.1,0.199,103.26,727,3.6,2.4,0.67,4.12,1.0,3.98,3.04,0.0,0.6
infortunato,25.0,78,223,66,33.6,0.298,98.57,4563,18.4,11.1,2.38,4.03,5.6,3.3,2.6,1.4,2.1
infortunato,22.0,76,201,62,15.7,0.205,103.5,2107,6.7,4.4,1.2,4.27,2.0,3.53,3.06,0.0,0.5
infortunato,30.0,77,180,56,16.7,0.189,100.62,1965,6.2,4.1,1.23,4.2,2.4,2.89,1.88,0.0,0.6
infortunato,30.0,77,180,56,16.7,0.189,100.62,1965,6.2,4.1,1.23,4.2,2.4,2.89,1.88,0.0,0.6
infortunato,30.0,77,180,56,16.7,0.189,100.62,1965,6.2,4.1,1.23,4.2,2.4,2.89,1.88,0.0,0.6
infortunato,32.0,79,230,57,33.9,0.26,96.49,3886,14.5,13.4,2.44,4.03,4.4,4.39,3.1,3.4,5.4
infortunato,32.0,79,230,57,33.9,0.26,96.49,3886,14.5,13.4,2.44,4.03,4.4,4.39,3.1,3.4,5.4
infortunato,32.0,79,230,57,33.9,0.26,96.49,3886,14.5,13.4,2.44,4.03,4.4,4.39,3.1,3.4,5.4
infortunato,34.0,80,220,45,24.9,0.129,99.09,2315,6.3,3.8,1.82,4.09,1.8,2.97,1.93,0.0,0.2
infortunato,28.0,84,280,68,33.8,0.375,96.96,4640,19.6,5.3,2.22,3.73,7.3,2.67,1.41,9.8,5.3
infortunato,26.0,77,210,72,17.9,0.097,101.72,2745,3.6,1.2,1.41,4.44,0.5,2.27,1.28,0.0,1.4
infortunato,30.0,76,194,79,27.1,0.258,98.29,4384,14.1,10.1,2.04,4.21,5.0,3.66,3.06,0.2,0.8
infortunato,27.0,77,215,54,33.2,0.184,99.35,3699,10.5,6.7,2.45,4.14,2.4,2.96,2.11,0.2,1.6
infortunato,27.0,77,215,54,33.2,0.184,99.35,3699,10.5,6.7,2.45,4.14,2.4,2.96,2.11,0.2,1.6
infortunato,27.0,77,215,54,33.2,0.184,99.35,3699,10.5,6.7,2.45,4.14,2.4,2.96,2.11,0.2,1.6
infortunato,32.0,75,205,67,32.9,0.231,101.18,4666,14.2,13.0,2.46,4.22,6.2,4.98,4.43,1.8,2.3
infortunato,32.0,75,205,67,32.9,0.231,101.18,4666,14.2,13.0,2.46,4.22,6.2,4.98,4.43,1.8,2.3
